subject,predicate,object
华中科技大学,包含,llm相关定义与使用
华中科技大学,包含,rag
华中科技大学,包含,知识图谱
llm相关定义与使用,包含,llm定义
llm相关定义与使用,包含,llm agents
llm相关定义与使用,包含,特殊术语
rag,解决,旧有llm问题
rag,包含,rag定义
rag,包含,rag结构
知识图谱,包含,知识图谱技术
知识图谱,包含,知识图谱构建方式
知识图谱,包含,传统知识图谱
知识图谱,包含,开放知识图谱
知识图谱,有,发展历程
传统知识图谱,有,应用场景
开放知识图谱,是,知识图谱
自建知识图谱,是,知识图谱
自建知识图谱,包括,手动构建知识图谱
自建知识图谱,包括,利用深度学习或llm自建知识图谱
知识图谱,帮助,大模型生成
grag,是,graph retrieval-augmented
多智能体,有,定义
多智能体,有,使用
多智能体,有,小工具和代码
pyvis,生成,知识图谱
deepseek,创建,知识图谱
华中科技大学,是,机构
一些杂项167,利用,pyvis
一些杂项167,生成,知识图谱
一些杂项167,利用,deepseek
一些杂项167,创建,知识图谱
华中科技大学,定义,llm
llm,是,高级ai系统
llm,使用,llms
llm,理解,人类语言
llm,生成,人类语言
llms,具有,上下文能力
llms,具有,复杂语言能力
llm,具有,上下文能力
llm,具有,复杂语言能力
llm代理,无法理解,人类细微情感
llm代理,面临,错误信息风险
llm代理,面临,偏见风险
llm代理,面临,隐私数据泄露
llm代理,面临,毒性风险
llm代理,无法理解,人类情感
llm代理,存在,错误信息
llm代理,存在,偏见
llm代理,存在,隐私数据泄露
llm代理,存在,有害内容
用户,需要,引导llm代理
用户,包括,人类
用户,包括,apis
用户,通过,提示
提示,包括,查询
提示,包括,指令
提示,包括,上下文
用户,需要,提示
提示,通过,查询
提示,通过,指令
提示,通过,上下文
提示,影响,响应
提示,影响,动作
核心,是,llm代理
核心,相当于,中央处理单元
核心,管理,逻辑
核心,管理,行为特征
核心,解释,输入
核心,应用,推理
核心,确定,行动方案
核心,负责,一致性
核心,负责,连贯性
决策模块,确定,行动方案
决策模块,负责,确保代理行为一致
决策模块,遵循,指导方针
决策模块,遵循,行为模式
记忆组件,作为,存储库
记忆组件,存储,用户交互
记忆组件,组织,数据
记忆组件,检索,数据
代理,回忆,先前对话
代理,回忆,用户偏好
代理,回忆,上下文信息
代理,提供,个性化响应
工具,是,工作流程
代理,利用,工具
代理,执行,特定任务
可执行的工作流程,是,代理执行任务的工具
代理,利用,可执行的工作流程
工具,范围包括,生成复杂查询的答案
工具,范围包括,执行专门任务
工具,类似,计算机应用程序
工具,类似,计算机实用程序
计算机,执行,广泛功能
每个工具,设计用于,特定目的
核心,决定使用,工具
核心,根据,任务上下文
核心,根据,任务性质
模块化方法,允许,灵活性和可扩展性
模块化方法,可以添加,新工具
模块化方法,可以更新,现有工具
计划模块,处理,复杂问题
计划模块,改进,执行计划
计划模块,位于,核心和工具之上
计划模块,使代理,反应即时查询
计划模块,使代理,规划长期目标
计划模块,使代理,规划复杂任务
战略层,位于,核心和工具之上
代理,能够,对即时查询做出反应
代理,能够,规划长期目标
代理,能够,处理复杂任务
规划模块,评估,不同方法
规划模块,预测,潜在挑战
规划模块,制定,策略
策略,实现,期望结果
大任务,分解为,更小步骤
代理,学习,过去经历
代理,优化,未来表现
tokens,是,大模型处理的最小单位
tokens,相当于,计算粒度
tokens,被视为,ai专用流量计量单位
tokens,等于,2-4个汉字
算粒度,被视作,ai专用流量计量单位
1token,等于,2-4个汉字
涌现,是,现象
涌现,又称,创发
涌现,又称,突现
涌现,又称,呈展
涌现,又称,演生
小实体,相互作用,大实体
大实体,展现,特性
模型规模,达到,阈值
模型规模,提升,准确性
准确性,涉及,多步算术
准确性,涉及,大学考试
准确性,涉及,单词释义
准确性提升,称为,涌现
指令,提升,模型性能
标注数据集,提升,模型性能
准确性,显著提升,涌现
思维链,称为,chain-of-thought
大语言模型,拆解,问题
大语言模型,分析,步骤
大语言模型,得出,答案
复杂问题,导致,错误答案
思维链,视为,指令微调
温度,调节,生成策略
温度,决定,内容风格
较高温度,影响,生成内容
温度,调节,大模型生成
温度,决定,生成内容风格
较高温度,增加,随机性
较低温度,选择,概率最高结果
温度趋近于0,导致,确定性输出
温度高,导致,输出更多样化
温度高,可能包含,更多错误内容
温度高,可能包含,不相关内容
本体,是,知识图谱的创建
向量化,是,embedding
本体,是,特定约束
本体,是,规范
向量化,是,过程
向量化,转化,文本数据
向量化,影响,检索效果
embedding,满足,需求
特殊场景,涉及,罕见专有词
开源embedding模型,可微调,效果优化
开源embedding模型,可训练,适合模型
开源embedding模型,用于,微调
开源embedding模型,用于,训练
参数化知识,存储于,神经网络权重
非参数化知识,存储于,外部知识库
向量数据库,属于,外部知识库
知识,存储在,神经网络
知识,存储在,外部知识库
外部知识库,例如,向量数据库
传统llm模型,进行,大量训练
传统llm模型,存储,知识
传统llm模型,难以更改,记忆储存
传统llm模型,导致,知识更新困难
llm,输出,事实不准确
事实不准确,称为,模型幻觉
输出,导致,事实不准确
模型幻觉,英文是,hallucinations
memory networks,有论文,https://arxiv.org/abs/1410.3916
memory networks,有论文,https://www.cainiaoya.com/neo4j/ne
stack-augmented networks,中文是,堆栈增强网络
rag,定义为,检索增强提示
patrick lewis,提出,rag
ethan perez,提出,rag
rag,结合,传统信息检索系统
传统信息检索系统,例如,数据库
patrick lewis,提出,生成
ethan perez,提出,生成
生成,结合,信息检索系统
生成,结合,大语言模型
大语言模型,给予,非参数化知识
非参数化知识,来自,外部知识库
大语言模型,结合,语言技能
大语言模型,撰写,文字
生成,包含步骤,检索
检索,根据,用户请求
检索,从,外部知识库
检索增强提示,包含步骤,检索
检索增强提示,包含步骤,增强
检索增强提示,包含步骤,生成
检索,使用,嵌入模型
嵌入模型,将,用户查询
嵌入模型,嵌入到,向量空间
向量空间,包含,附加上下文
检索,执行,相似性搜索
相似性搜索,返回,前k个数据对象
增强,填充,提示模板
提示模板,包含,用户查询
提示模板,包含,附加上下文
生成,馈送,检索增强提示
附加上下文,被填充到,提示模板
检索增强提示,被馈送到,llm
rag,有结构,简单结构
g,有,结构图
multi query retriever,来自,github
华中科技大学,生成,答案
华中科技大学,回答,问题
retrieve grade,评估,幻觉
no question docs,相关,问题
知识图谱,由,节点和边构成
节点,代表,实体
实体,可以是,对象
实体,可以是,事件
实体,可以是,情景
实体,可以是,概念
边,表示,关系
mary,消费,更多食物
lamb,盛在,盘子上
盘子,包含,食物
知识图谱,用于,图形检索增强生成
图形检索增强生成,简称,grag
图形检索增强生成,简称,gag
知识图谱,优于,旧版rag
知识图谱,适用于,查询缺乏上下文
知识图谱,适用于,上下文跨越多文本片段
知识图谱,以形式表达,三元组
cavipor to,有形式,form
tim berners-lee,提出,语义网络
tim berners-lee,描述,语义网络
语义网络,是,知识图谱发展历程
知识图谱,发展于,语义网络
tim berners-lee,发表,论文
语义网,旨在,结构化表示实体及其关系
语义网,发展缓慢,规模小
语义网,发展缓慢,应用场景不清楚
google,推出,knowledge graph
google,发布,570
google,发布,570亿实体的大规模知识图谱
google,应用,搜索引擎
知识图谱,改变,现状
